Parameter;Buero;Gruppenbuero;Grossraumbüro;Besprechung;Schalterhalle;Einzelhandel_Kaufhaus;Einzelhandel_Kaufhaus mit Kühlung;Klassenzimmer_Gruppenraum;Hoersaal_Auditorium;Betten-zimmer;Hotelzimmer;Kantine;Restaurant;Kueche in Nichtwohngebäuden;Kueche – Vorbereitung, Lager;WC und Sanitaerraeume in Nichtwohngebaeuden;Sonstige Aufenthaltsräume;Nebenflaechen (ohne Aufenthaltsräume);Verkehrsflächen;Lager, Technik, Archiv;Rechenzentrum;Gewerbliche und industrielle Hallen – schwere Arbeit, stehende Taetigkeit;Gewerbliche und industrielle Hallen – mittelschwere Arbeit, überwiegend stehende Taetigkeit;Gewerbliche und industrielle Hallen – leichte Arbeit, überwiegend sitzende Tätigkeit;Zuschauerbereich (Theater und Veranstaltungsbauten);Foyer (Theater und Veranstaltungsbauten);Buehne (Theater und Veranstaltungsbauten);Messe_Kongress;Ausstellungsrauume und Museum mit konservatorischen Anforderungen;Bibliothek – Lesesaal;Bibliothek – Freihandbereich;Bibliothek – Magazin und Depot;Turnhalle ohne Zuschauer;Parkhaeuser (Buero- und Privatnutzung);Parkhaeuser (Oeffentliche Nutzung);Saunabereich;Fitnessraum;Labor;Untersuchungs- und Behandlungsraeume;Sepzialpflegebereiche;Flure des allgemeinen Pflegebereichs;Arztpraxen und therapeutische Praxen;Lagerhallen, Logistikhallen
Nutzungszeiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tägliche Nutzungszeit Start;07:00;07:00;07:00;07:00;07:00;08:00;08:00;08:00;08:00;00:00;21:00;08:00;10:00;10:00;10:00;07:00;07:00;07:00;07:00;07:00;00:00;07:00;07:00;07:00;19:00;19:00;13:00;09:00;10:00;08:00;08:00;08:00;08:00;07:00;09:00;10:00;08:00;07:00;07:00;00:00;00:00;08:00;00:00
tägliche Nutzungszeit Ende;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;08:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;18:00;20:00;20:00;20:00;23:00;18:00;00:00;22:00;23:00;18:00;18:00;00:00;00:00;18:00;00:00
jährliche Nutzungszeit;250;250;250;250;250;300;300;200;150;365;365;250;300;300;300;250;250;250;250;250;365;230;230;230;250;250;250;150;250;300;300;300;250;250;365;365;365;250;250;365;365;250;365
jährliche Nutzungsstunden Tagzeit;2543;2543;2543;2543;2543;3009;3009;1400;1408;4407;743;1750;2411;2411;2411;2543;2543;2543;2543;2543;4407;2018;2018;2018;59;59;1259;1258;1846;3009;3009;3009;2509;2543;3298;2933;3663;2543;2543;4407;4407;2346;4407
jährliche Nutzungsstunden Nachtzeit;207;207;207;207;207;591;591;0;92;4353;3272;0;1789;1489;1489;207;207;207;207;207;4353;52;52;52;941;941;1241;92;154;591;591;591;1241;207;2177;1447;1812;207;207;4353;4353;154;4353
tägliche Betriebszeit RLT und Kühlung Start;05:00;05:00;05:00;05:00;05:00;06:00;06:00;06:00;06:00;00:00;00:00;06:00;08:00;08:00;08:00;05:00;05:00;05:00;05:00;05:00;00:00;06:00;06:00;06:00;17:00;17:00;11:00;07:00;00:00;06:00;06:00;06:00;06:00;05:00;07:00;08:00;06:00;00:00;05:00;00:00;00:00;06:00;00:00
tägliche Betriebszeit RLT und Kühlung Ende;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;00:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;00:00;20:00;20:00;20:00;23:00;18:00;00:00;22:00;23:00;00:00;18:00;00:00;00:00;18:00;00:00
jährliche Betriebstage für jeweils RLT, Kühlung und Heizung;250;250;250;250;250;300;300;200;150;365;365;250;300;300;300;250;250;250;250;250;365;230;230;230;250;250;250;150;365;300;300;300;250;250;365;365;365;250;250;365;365;250;365
tägliche Betriebszeit Heizung Start;05:00;05:00;05:00;05:00;05:00;06:00;06:00;06:00;06:00;00:00;00:00;06:00;08:00;08:00;08:00;05:00;05:00;05:00;05:00;05:00;00:00;06:00;06:00;06:00;17:00;17:00;11:00;07:00;00:00;06:00;06:00;06:00;06:00;;;08:00;06:00;05:00;05:00;00:00;00:00;06:00;00:00
tägliche Betriebszeit Heizung Ende;18:00;18:00;18:00;18:00;18:00;20:00;20:00;15:00;18:00;00:00;00:00;15:00;00:00;23:00;23:00;18:00;18:00;18:00;18:00;18:00;00:00;16:00;16:00;16:00;23:00;23:00;23:00;18:00;00:00;20:00;20:00;20:00;23:00;;;22:00;23:00;00:00;18:00;00:00;00:00;18:00;00:00
Raumkonditionen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizung;21;21;21;21;21;21;21;21;21;22;21;21;21;21;21;21;21;21;21;21;21;15;17;20;21;21;21;21;21;21;21;21;19;21;21;24;20;22;22;24;22;22;12
Raum-Solltemperatur Kühlung;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;28;26;24;24;24;24;24;24;24;24;24;24;24;24;;24;24;24;24;24;24;26
Minimaltemperatur Auslegung Heizung;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;15;15;18;20;20;20;20;20;20;20;20;20;20;20;23;18;20;20;22;20;20;12
Maximaltemperatur Auslegung Kühlung;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;30;28;26;26;26;26;26;26;26;26;26;26;26;26;;26;26;26;26;26;26;28
Temperaturabsenkung reduzierter Betrieb;4;4;4;4;4;4;4;4;4;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;4;0
Feuchteanforderung;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;mit Toleranz;keine;mit Toleranz;mit Toleranz;;;;keine;mit Toleranz;keine;keine;;;;;;;;;;;;;;;;;;;;mit Toleranz;mit  Toleranze;keine;mit Toleranz;keine
