Profile	Office	Group_Office	Open-plan_Office	Meeting_Room	Counter_Hall	Retail_Store	Retail_Store_with_Cooling	Classroom	Auditorium	Bedroom	Hotel_Room	Canteen	Restaurant	Kitchen_in_Non-residential_Buildings	Kitchen_–_Preparation,_Storage	WC_and_Sanitary_Rooms_in_Non-residential_Buildings	Other_Common_Rooms	Ancillary_Areas_(without_Common_Rooms)	Circulation_Areas	Storage,_Technical,_Archive	Data_Center	Industrial_Halls_–_Heavy_Work,_Standing	Industrial_Halls_–_Medium_Work,_Mostly_Standing	Industrial_Halls_–_Light_Work,_Mostly_Sitting	Audience_Area_(Theater_and_Event_Buildings)	Foyer_(Theater_and_Event_Buildings)	Stage_(Theater_and_Event_Buildings)	Exhibition_and_Congress	Exhibition_Rooms_and_Museum_with_Conservation_Requirements	Library_–_Reading_Room	Library_–_Open_Stacks	Library_–_Archive_and_Depot	Gymnasium_without_Spectators	Parking_(Office_and_Private)	Parking_(Public)	Sauna_Area	Fitness_Room	Laboratory	Examination_and_Treatment_Rooms	Special_Care_Areas	Corridors_of_General_Care_Area	Medical_and_Therapeutic_Practices	Warehouses,_Logistics_Halls
Person Schedule Input																																											
Hour	8.4	8.1	8.8	6.7	8.6	11.8	11.8	6.5	9.3	24	11	4.8	10.2	10	10	0	8.4	0	0	0	6	8	8	8	2.6	1.4	0	9	7	11	10	0	13.2	0	0	12.5	12.1	8	9	24	0	10	0
0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	0.3	0.3	0.5	0.7	0.5	0	0	0	0	1	1	0	0	0	0	0	0.5	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	1	0	1	0
